"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"OTU_420",17.7968076943044,-0.363894176947196,0.875999663625122,-0.415404471094548,0.677845834143652,0.980587264520361
"OTU_233",7.8865010625688,-1.75782534507798,0.863327463125344,-2.03610497772705,0.0417398150126734,0.139495329101058
"OTU_82",2.76581984129793,0.143305873923653,0.735270628949607,0.194902214615014,0.845469500429663,0.980587264520361
"OTU_68",149.274774363184,-6.07212512458733,0.968066878377221,-6.27242317676036,3.55471859080676e-10,3.79643945498162e-08
"OTU_96",1.26941652038702,-0.0971751387340527,0.623871571210659,-0.155761447096361,0.876221060401966,NA
"OTU_145",1.18214386446046,0.0478007717013665,0.657626589189416,0.0726867989937652,0.942055353637041,NA
"OTU_194",36.8162212352852,-2.62541218370416,0.938691384582354,-2.79688535212483,0.00515978390243191,0.0309587034145915
"OTU_121",21.4775022358628,2.50371980478978,0.840032699459024,2.98050279042966,0.00287775616230311,0.019329915781782
"OTU_1",11.3203757508575,0.587665162355769,0.84522056522183,0.695280245815523,0.486879691515103,0.802449861941559
"OTU_89",1.26652579805155,0.177908196257484,0.649595679193438,0.273875276507968,0.784180471895896,NA
"OTU_24",10.3105987388413,1.29911986621993,0.839321098838706,1.54782224349823,0.12166509954056,0.293978113821986
"OTU_47",10.7627761911942,0.0964138499620966,0.922111162383114,0.104557730016979,0.916726757347592,0.980587264520361
"OTU_75",4.36617485586739,0.531381033722235,0.763506778483349,0.695974218824599,0.486444975455354,0.802449861941559
"OTU_98",214.302629633791,0.71977722310961,0.881322556814345,0.816701237866121,0.414099183749745,0.713319239104399
"OTU_5",29.5357473435106,-0.817320601295041,0.959042120605836,-0.852225969781945,0.394088685404178,0.692512417411479
"OTU_215",1.52296757434701,-0.45600552502607,0.632658576330081,-0.720776643337804,0.471046948016144,NA
"OTU_1179",1.55236902547127,-0.470779531034607,0.578680523012606,-0.813539616961244,0.415908741887458,NA
"OTU_403",5.91724825566973,-0.351229054791588,0.791025973483686,-0.444017094969426,0.657030224460124,0.980587264520361
"OTU_30",1.7525848305618,0.709543263643655,0.618184249188346,1.14778605986041,0.251056893470217,0.498503453446302
"OTU_720",11.3067867885403,-0.403362945845831,0.899737725578991,-0.448311696151523,0.653928260666568,0.980587264520361
"OTU_20",78.6816012861098,-4.94305748960771,1.07293840228846,-4.60702821249078,4.08464600193044e-06,9.91454984104934e-05
"OTU_13",158.720712606349,1.11609540792589,0.880573902888362,1.26746364418136,0.204989555274514,0.430962293372404
"OTU_26",9.96988817632426,-0.961319446050757,0.860828203602351,-1.1167378601536,0.264106424890042,0.518503054747362
"OTU_175",7.37219531655241,0.247564574597873,0.915874045376032,0.270304171024117,0.786926256745041,0.980587264520361
"OTU_33",2.86722286591607,0.668563708156369,0.64018066225791,1.04433599384016,0.296329965444524,0.569209358084085
"OTU_197",70.6723463184201,0.640941063140834,0.948124443960879,0.676009428111822,0.499034659117548,0.813202567205394
"OTU_108",9.37468804430012,-1.8692308659081,0.853563063929325,-2.18991536173462,0.0285303756736219,0.108051209997972
"OTU_50",259.427872425266,-2.05386350644451,0.908672750568632,-2.26028953235281,0.0238032872184783,0.0970301936997513
"OTU_138",39.6122718435534,4.3766869682966,1.05722749181522,4.13977786444238,3.47642287330261e-05,0.000580128066982372
"OTU_243",1.15311150126094,0.047974890002711,0.656817195395646,0.0730414647165448,0.941773121540112,NA
"OTU_28",478.329204267327,3.17401198743735,1.00503775668515,3.15810223678162,0.00158799855317657,0.0126565854835267
"OTU_10",376.959923273167,-0.267328703357907,0.99606709966357,-0.26838423179342,0.78840357564427,0.980587264520361
"OTU_246",47.2034585061993,1.22660281948693,1.02491512621018,1.19678477575263,0.231390453728697,0.475240393427401
"OTU_35",28.5993117011086,2.93632200385704,0.914071525054858,3.212354748367,0.00131651701695197,0.0108156936469593
"OTU_37",2.23398726356061,-0.498202994152382,0.621195464736332,-0.802006811759074,0.422549017956148,0.723208896117253
"OTU_38",373.039589048599,-5.66579539190603,0.801580124493335,-7.06828328046093,1.56862084779343e-12,8.37643532721691e-10
