"OTU_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ConsensusLineage"
"OTU_1003",4.26862198162101,-3.0613979443106,0.759504197836603,-4.0307847580445,5.55909343822202e-05,0.000899562392730472,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__unidentified; s__Herpotrichiellaceae sp"
"OTU_1111",2.66817028481396,-1.88268073621699,0.681300504170947,-2.76336319244027,0.00572090692754717,0.0335710362561559,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes sp"
"OTU_113",64.6218526388885,-3.19797006120774,0.972384210691352,-3.28879266656749,0.00100618114178252,0.0091067920290147,"k__Fungi; p__Zygomycota; c__Incertae sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__Mortierella sp"
"OTU_116",77.3917822434132,-5.48837661730826,0.978561256363365,-5.60861834823172,2.03948212543565e-08,1.21009272775849e-06,"k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Incertae sedis; f__unidentified; g__unidentified; s__Leotiomycetes sp"
"OTU_1164",13.5725642912748,-2.55076166511217,0.881047210604317,-2.8951475408027,0.0037898035917392,0.0240923228331992,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__Sordariomycetes sp"
"OTU_119",9.12249219289839,-2.72282184178371,0.836020473411672,-3.25688416537491,0.00112642389959743,0.00970178003846817,"k__Fungi; p__Ascomycota; c__Incertae sedis; o__Incertae sedis; f__Incertae sedis; g__Satchmopsis; s__Satchmopsis brasiliensis"
"OTU_120",102.204526159446,-3.61832900668743,0.917311961275014,-3.94449125209067,7.99695726668615e-05,0.00125599270012071,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__unidentified; s__Herpotrichiellaceae sp"
"OTU_122",154.386585586319,-4.77018033033083,0.930810804565466,-5.12475822899124,2.97919783325335e-07,1.06059442863819e-05,"k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Incertae sedis; g__Acremonium; s__Acremonium spinosum"
"OTU_128",78.4247558826738,-5.07297113581076,0.922693290119892,-5.49800371383604,3.84114843221366e-08,1.70931105233508e-06,"k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__unidentified; s__Herpotrichiellaceae sp"
"OTU_130",148.008369691196,-5.21181985345754,0.823413972427347,-6.3295256432115,2.45916024045391e-10,3.28297892100597e-08,"k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__Dothideomycetes sp"
